Nodal History,Temperature
Time,A9002,
    2.5009999084e+02,    2.9363549805e+02,
    2.5109999084e+02,    2.9361837769e+02,
    2.5209999084e+02,    2.9360183716e+02,
    2.5309999084e+02,    2.9358587646e+02,
    2.5409999084e+02,    2.9357049561e+02,
    2.5509999084e+02,    2.9355566406e+02,
    2.5609997559e+02,    2.9354135132e+02,
    2.5709997559e+02,    2.9352752686e+02,
    2.5809997559e+02,    2.9351422119e+02,
    2.5909997559e+02,    2.9350134277e+02,
    2.6009997559e+02,    2.9348895264e+02,
    2.6109997559e+02,    2.9347698975e+02,
    2.6209997559e+02,    2.9346545410e+02,
    2.6309997559e+02,    2.9345431519e+02,
    2.6409997559e+02,    2.9344357300e+02,
    2.6509997559e+02,    2.9343319702e+02,
    2.6609997559e+02,    2.9342321777e+02,
    2.6709997559e+02,    2.9341357422e+02,
    2.6809997559e+02,    2.9340426636e+02,
    2.6909997559e+02,    2.9339529419e+02,
    2.7009997559e+02,    2.9338662720e+02,
    2.7109997559e+02,    2.9337826538e+02,
    2.7209997559e+02,    2.9337020874e+02,
    2.7309997559e+02,    2.9336245728e+02,
    2.7409997559e+02,    2.9335494995e+02,
    2.7509997559e+02,    2.9334771729e+02,
    2.7609997559e+02,    2.9334072876e+02,
    2.7709997559e+02,    2.9333401489e+02,
    2.7809997559e+02,    2.9332751465e+02,
    2.7909997559e+02,    2.9332122803e+02,
    2.8009997559e+02,    2.9331518555e+02,
    2.8109997559e+02,    2.9330935669e+02,
    2.8209997559e+02,    2.9330374146e+02,
    2.8309997559e+02,    2.9329830933e+02,
    2.8409997559e+02,    2.9329306030e+02,
    2.8509997559e+02,    2.9328802490e+02,
    2.8609997559e+02,    2.9328314209e+02,
    2.8709997559e+02,    2.9327844238e+02,
    2.8809997559e+02,    2.9327392578e+02,
    2.8909997559e+02,    2.9326953125e+02,
    2.9009997559e+02,    2.9326531982e+02,
    2.9109997559e+02,    2.9326126099e+02,
    2.9209997559e+02,    2.9325732422e+02,
    2.9309997559e+02,    2.9325354004e+02,
    2.9409997559e+02,    2.9324987793e+02,
    2.9509997559e+02,    2.9324636841e+02,
    2.9609997559e+02,    2.9324295044e+02,
    2.9709997559e+02,    2.9323968506e+02,
    2.9809997559e+02,    2.9323651123e+02,
    2.9909997559e+02,    2.9323345947e+02,
    3.0009997559e+02,    2.9323049927e+02,
    3.0109997559e+02,    2.9268887329e+02,
    3.0200000000e+02,    2.9270672607e+02,
    3.0300000000e+02,    2.9272381592e+02,
    3.0400000000e+02,    2.9274023438e+02,
    3.0500000000e+02,    2.9275601196e+02,
    3.0600000000e+02,    2.9274429321e+02,
    3.0700000000e+02,    2.9276354980e+02,
    3.0800000000e+02,    2.9278210449e+02,
    3.0900000000e+02,    2.9279980469e+02,
    3.1000000000e+02,    2.9281661987e+02,
